year,month,temperature,temp_max,temp_min,humidity,rainfall,date
2009,6,27.376666666666665,31.076666666666664,24.813333333333333,84.76666666666667,333.1,2009-06-01
2009,7,28.448387096774194,32.04838709677419,25.799999999999997,83.25806451612904,211.4,2009-07-01
2009,8,28.925806451612903,32.66129032258065,26.048387096774192,83.03225806451613,141.6,2009-08-01
2009,9,28.33,32.02,25.34,79.06666666666666,129.1,2009-09-01
2009,10,25.261290322580646,29.903225806451612,21.43548387096774,67.74193548387096,5.6,2009-10-01
2009,11,17.56,22.403333333333332,13.406666666666666,67.3,70.9,2009-11-01
2009,12,15.261290322580646,19.551612903225806,11.55483870967742,71.12903225806451,61.400000000000006,2009-12-01
2010,1,14.96774193548387,18.816129032258065,11.983870967741936,78.7741935483871,84.10000000000001,2010-01-01
2010,2,17.157142857142855,20.54642857142857,14.49642857142857,83.03571428571429,88.5,2010-02-01
2010,3,19.65806451612903,23.95483870967742,15.858064516129033,76.19354838709677,69.9,2010-03-01
2010,4,21.02,24.583333333333332,18.209999999999997,83.9,244.7,2010-04-01
2010,5,25.63225806451613,29.183870967741935,22.80322580645161,85.6774193548387,349.5,2010-05-01
2010,6,26.503333333333334,29.416666666666668,24.383333333333333,86.56666666666666,423.09999999999997,2010-06-01
2010,7,28.664516129032258,32.25483870967742,25.983870967741936,82.7741935483871,184.9,2010-07-01
2010,8,28.258064516129032,31.86774193548387,25.596774193548388,83.70967741935483,173.9,2010-08-01
2010,9,27.40666666666667,30.836666666666666,24.936666666666667,85.1,373.6,2010-09-01
2010,10,23.229032258064517,26.770967741935483,20.51290322580645,69.61290322580645,51.800000000000004,2010-10-01
2010,11,19.636666666666667,24.936666666666667,15.16,64.3,0.9,2010-11-01
2010,12,15.47741935483871,20.716129032258067,10.764516129032257,63.70967741935484,20.7,2010-12-01
2011,1,10.254838709677419,14.52258064516129,7.161290322580645,56.96774193548387,19.1,2011-01-01
2011,2,15.475,19.982142857142858,11.728571428571428,73.0,47.0,2011-02-01
2011,3,16.845161290322583,21.20967741935484,13.52258064516129,65.0,34.2,2011-03-01
2011,4,23.336666666666666,28.346666666666668,18.95,72.16666666666667,129.8,2011-04-01
2011,5,24.896774193548385,28.629032258064516,21.83225806451613,81.80645161290323,197.4,2011-05-01
2011,6,28.083333333333332,31.60666666666667,25.446666666666665,83.06666666666666,265.0,2011-06-01
2011,7,28.25483870967742,31.94193548387097,25.583870967741937,84.03225806451613,324.5,2011-07-01
2011,8,28.770967741935483,32.59032258064516,25.664516129032258,79.03225806451613,69.3,2011-08-01
2011,9,27.223333333333336,31.173333333333336,24.236666666666668,75.13333333333334,100.19999999999999,2011-09-01
2011,10,23.370967741935484,27.299999999999997,20.251612903225805,74.0,214.0,2011-10-01
2011,11,21.553333333333335,25.84,18.09333333333333,74.26666666666667,89.0,2011-11-01
2011,12,14.3,19.174193548387095,10.490322580645161,50.354838709677416,0.4,2011-12-01
2012,1,12.37741935483871,15.577419354838709,9.938709677419356,75.03225806451613,80.5,2012-01-01
2012,2,14.43448275862069,17.862068965517242,11.62758620689655,78.86206896551724,102.3,2012-02-01
2012,3,18.703225806451613,22.86774193548387,15.361290322580645,81.09677419354838,81.8,2012-03-01
2012,4,23.616666666666667,27.153333333333332,20.866666666666667,86.3,479.5,2012-04-01
2012,5,26.612903225806452,30.212903225806453,24.25483870967742,85.54838709677419,259.7,2012-05-01
2012,6,27.576666666666664,30.773333333333333,25.243333333333332,84.73333333333333,314.5,2012-06-01
2012,7,28.006451612903227,31.36774193548387,25.47741935483871,84.45161290322581,279.3,2012-07-01
2012,8,28.574193548387097,32.325806451612905,25.751612903225805,81.90322580645162,125.4,2012-08-01
2012,9,26.43,30.353333333333335,23.62,77.33333333333333,108.0,2012-09-01
2012,10,24.448387096774194,28.729032258064517,20.506451612903227,71.7741935483871,94.7,2012-10-01
2012,11,19.740000000000002,23.44,16.756666666666668,78.1,183.6,2012-11-01
2012,12,14.848387096774195,18.37741935483871,11.67741935483871,76.12903225806451,76.8,2012-12-01
2013,1,13.983870967741936,18.490322580645163,10.364516129032259,71.0,6.6,2013-01-01
2013,2,17.860714285714288,21.946428571428573,14.714285714285714,76.25,26.7,2013-02-01
2013,3,20.47741935483871,24.932258064516127,16.780645161290323,77.96774193548387,251.4,2013-03-01
2013,4,21.740000000000002,25.279999999999998,19.126666666666665,84.1,288.3,2013-04-01
2013,5,25.509677419354837,29.038709677419355,23.080645161290324,87.03225806451613,435.2,2013-05-01
2013,6,27.623333333333335,30.936666666666667,25.14,84.4,293.0,2013-06-01
2013,7,27.370967741935484,30.812903225806455,25.103225806451615,86.09677419354838,243.70000000000002,2013-07-01
2013,8,27.748387096774195,31.019354838709678,25.42258064516129,86.54838709677419,404.0,2013-08-01
2013,9,26.776666666666664,30.416666666666668,24.033333333333335,81.1,221.6,2013-09-01
2013,10,24.0258064516129,28.541935483870965,20.238709677419354,63.354838709677416,1.8,2013-10-01
2013,11,19.73,23.853333333333335,16.25,66.43333333333334,65.1,2013-11-01
2013,12,12.72258064516129,17.825806451612905,8.638709677419355,60.064516129032256,136.0,2013-12-01
2014,1,14.319354838709677,20.193548387096776,9.170967741935485,63.61290322580645,3.0,2014-01-01
2014,2,14.049999999999999,18.321428571428573,10.439285714285715,74.57142857142857,51.4,2014-02-01
2014,3,18.64516129032258,22.593548387096774,15.696774193548388,80.3225806451613,221.1,2014-03-01
2014,4,23.316666666666666,26.803333333333335,20.686666666666667,82.26666666666667,159.1,2014-04-01
2014,5,25.66774193548387,28.83225806451613,23.461290322580645,88.29032258064517,527.4,2014-05-01
2014,6,28.55,32.086666666666666,25.973333333333336,84.16666666666667,281.7,2014-06-01
2014,7,28.951612903225808,32.50322580645162,26.16774193548387,83.06451612903226,154.9,2014-07-01
2014,8,28.396774193548385,31.94193548387097,25.77741935483871,84.61290322580645,229.1,2014-08-01
2014,9,27.863333333333333,31.53666666666667,25.053333333333335,81.5,93.10000000000001,2014-09-01
2014,10,25.01290322580645,29.648387096774194,21.096774193548388,68.16129032258064,6.8,2014-10-01
2014,11,20.88,24.543333333333333,17.990000000000002,73.06666666666666,44.1,2014-11-01
2014,12,13.496774193548386,17.661290322580644,10.13225806451613,58.193548387096776,36.7,2014-12-01
