scenario,temp,precip,humidity,beta_nn
T-vary,22.0,10.757142857142858,49.72057395311272,0.055469792
T-vary,22.0,10.757142857142858,50.11904652913412,0.05547375
T-vary,22.0,10.757142857142858,50.517519105155515,0.055477623
T-vary,22.0,10.757142857142858,50.91599168117691,0.055481445
T-vary,22.0,10.757142857142858,51.31446425719831,0.055485167
T-vary,22.0,10.757142857142858,51.71293683321971,0.055488832
T-vary,22.0,10.757142857142858,52.111409409241105,0.055492412
T-vary,22.0,10.757142857142858,52.50988198526251,0.055495914
T-vary,22.0,10.757142857142858,52.9083545612839,0.055499353
T-vary,22.0,10.757142857142858,53.306827137305305,0.055502713
T-vary,22.0,10.757142857142858,53.7052997133267,0.055506002
T-vary,22.0,10.757142857142858,54.1037722893481,0.055509213
T-vary,22.0,10.757142857142858,54.5022448653695,0.05551235
T-vary,22.0,10.757142857142858,54.900717441390896,0.055515412
T-vary,22.0,10.757142857142858,55.29919001741229,0.05551839
T-vary,22.0,10.757142857142858,55.69766259343369,0.055521317
T-vary,22.0,10.757142857142858,56.096135169455096,0.055524155
T-vary,22.0,10.757142857142858,56.494607745476486,0.05552692
T-vary,22.0,10.757142857142858,56.89308032149789,0.055529617
T-vary,22.0,10.757142857142858,57.29155289751929,0.05553223
T-vary,22.0,10.757142857142858,57.690025473540686,0.055534773
T-vary,22.0,10.757142857142858,58.088498049562084,0.055537246
T-vary,22.0,10.757142857142858,58.48697062558348,0.055539638
T-vary,22.0,10.757142857142858,58.88544320160488,0.055541974
T-vary,22.0,10.757142857142858,59.28391577762628,0.055544227
T-vary,22.0,10.757142857142858,59.68238835364768,0.055546384
T-vary,22.0,10.757142857142858,60.08086092966907,0.055548485
T-vary,22.0,10.757142857142858,60.47933350569048,0.055550516
T-vary,22.0,10.757142857142858,60.877806081711874,0.055552453
T-vary,22.0,10.757142857142858,61.27627865773327,0.05555434
T-vary,22.0,10.757142857142858,61.67475123375467,0.055556156
T-vary,22.0,10.757142857142858,62.07322380977607,0.05555787
T-vary,22.0,10.757142857142858,62.471696385797465,0.055559535
T-vary,22.0,10.757142857142858,62.87016896181886,0.055561125
