city,year,month,temp_mean,humidity,precip,beta_pred,BI,BI_norm,risk_monthly,bi_coverage_months
Huizhou,2014,9,27.426666666666662,84.03333333333333,3.3233333333333333,0.055517762899398804,,1.0,0.055517762899398804,0
Huizhou,2014,10,25.038709677419355,67.51612903225806,0.6290322580645161,0.05560573935508728,,1.0,0.05560573935508728,0
Huizhou,2014,11,20.90666666666667,72.63333333333334,0.5433333333333333,0.05556545406579971,,1.0,0.05556545406579971,0
Huizhou,2014,12,13.13225806451613,59.67741935483871,1.3096774193548388,0.05546223372220993,,1.0,0.05546223372220993,0
Jiangmen,2014,1,14.716129032258063,65.90322580645162,0.0483870967741935,0.05548442155122757,,1.0,0.05548442155122757,0
Jiangmen,2014,2,14.428571428571429,76.0,1.5464285714285713,0.05541728809475899,,1.0,0.05541728809475899,0
Jiangmen,2014,3,19.38387096774193,80.61290322580645,4.758064516129032,0.05550486221909523,,1.0,0.05550486221909523,0
Jiangmen,2014,4,23.58,83.8,5.503333333333333,0.055524926632642746,,1.0,0.055524926632642746,0
Jiangmen,2014,5,26.24516129032258,87.09677419354838,11.861290322580643,0.055528752505779266,,1.0,0.055528752505779266,0
Jiangmen,2014,6,28.716666666666665,83.73333333333333,7.11,0.05551706254482269,,1.0,0.05551706254482269,0
Jiangmen,2014,7,28.958064516129035,83.38709677419355,4.951612903225806,0.05551471188664436,,1.0,0.05551471188664436,0
Jiangmen,2014,8,28.364516129032257,84.96774193548387,7.216129032258065,0.05551309138536453,,1.0,0.05551309138536453,0
Jiangmen,2014,9,27.74,83.03333333333333,4.61,0.05552566796541214,,1.0,0.05552566796541214,0
Jiangmen,2014,10,24.76129032258065,71.90322580645162,0.4677419354838709,0.05559320002794266,,1.0,0.05559320002794266,0
Jiangmen,2014,11,21.236666666666668,74.6,0.8966666666666666,0.05555795878171921,,1.0,0.05555795878171921,0
Jiangmen,2014,12,13.7,61.74193548387097,1.4290322580645165,0.055473215878009796,,1.0,0.055473215878009796,0
Shantou,2014,1,14.003225806451614,70.54838709677419,0.1387096774193548,0.055439479649066925,10.95,1.019790454016203,0.05653665212174401,12
Shantou,2014,2,14.15,79.39285714285714,1.957142857142857,0.05538131669163704,10.95,1.019790454016203,0.05647733809297966,12
Shantou,2014,3,17.72258064516129,79.96774193548387,1.9774193548387096,0.05546543374657631,10.95,1.019790454016203,0.05656311986262669,12
Shantou,2014,4,21.41333333333333,83.23333333333333,2.543333333333333,0.05549823120236397,10.5,0.9778812572758112,0.054270680104751334,12
Shantou,2014,5,24.548387096774192,89.6774193548387,12.470967741935484,0.055520202964544296,10.6,0.9871944121070094,0.054809234125645145,12
Shantou,2014,6,27.223333333333336,87.7,10.23,0.055512938648462296,11.3,1.052386495925397,0.05842106698277678,12
Shantou,2014,7,28.796774193548387,85.54838709677419,4.335483870967742,0.0555000901222229,12.7,1.1827706635621715,0.0656438784216219,12
Shantou,2014,8,28.080645161290324,87.3225806451613,4.764516129032257,0.05549156665802002,8.8,0.8195576251454418,0.04547853658584687,12
Shantou,2014,9,27.76,85.13333333333334,3.3233333333333333,0.05550756677985191,16.8,1.564610011641298,0.08684769470560423,12
Shantou,2014,10,24.258064516129032,72.06451612903226,0.2032258064516129,0.05559198558330536,12.9,1.2013969732245682,0.06678804321532689,12
Shantou,2014,11,21.203333333333333,75.93333333333334,1.3666666666666667,0.055549852550029755,6.2,0.5774155995342886,0.03207535141421676,12
Shantou,2014,12,14.667741935483871,65.51612903225806,1.4612903225806453,0.055486492812633514,6.2,0.5774155995342886,0.032038766513461776,12
Shaoguan,2014,1,12.422580645161291,60.45161290322581,0.2193548387096774,0.05544079467654228,,1.0,0.05544079467654228,0
Shaoguan,2014,2,11.842857142857143,73.21428571428571,2.1392857142857142,0.05536352097988129,,1.0,0.05536352097988129,0
Shaoguan,2014,3,15.938709677419356,82.0,4.703225806451614,0.05542557314038277,,1.0,0.05542557314038277,0
Shaoguan,2014,4,22.17,81.3,3.4033333333333333,0.05552654340863228,,1.0,0.05552654340863228,0
Shaoguan,2014,5,24.3,86.54838709677419,12.55483870967742,0.0555405467748642,,1.0,0.0555405467748642,0
Shaoguan,2014,6,27.65,83.1,10.76,0.05553489550948143,,1.0,0.05553489550948143,0
Shaoguan,2014,7,29.374193548387098,75.96774193548387,4.280645161290322,0.05554552748799324,,1.0,0.05554552748799324,0
Shaoguan,2014,8,28.361290322580647,79.74193548387096,8.119354838709677,0.05553876981139183,,1.0,0.05553876981139183,0
Shaoguan,2014,9,28.136666666666667,71.73333333333333,2.13,0.055576350539922714,,1.0,0.055576350539922714,0
Shaoguan,2014,10,25.003225806451614,56.354838709677416,0.132258064516129,0.055600855499506,,1.0,0.055600855499506,0
Shaoguan,2014,11,18.176666666666662,75.3,3.0966666666666662,0.05551537871360779,,1.0,0.05551537871360779,0
Shaoguan,2014,12,10.506451612903223,61.483870967741936,1.8548387096774197,0.05537901073694229,,1.0,0.05537901073694229,0
Shenzhen,2014,1,15.541935483870969,64.93548387096774,0.0064516129032258,0.05550844222307205,0.0930233,0.04054055305535827,0.0022503429469647417,12
Shenzhen,2014,2,15.417857142857144,76.64285714285714,1.5357142857142858,0.055438484996557236,1.39535,0.6081085137357433,0.03371261471501772,12
Shenzhen,2014,3,19.896774193548385,80.51612903225806,3.2838709677419358,0.05550582706928253,5.67442,2.472973169822894,0.13726442111116502,12
Shenzhen,2014,4,23.22,85.93333333333334,5.1433333333333335,0.05550346523523331,5.86047,2.5540557576901213,0.1417589449558011,12
