city_cn,city_en,year,month,n_weeks,cases,tem,rhu,pre,Tm,Hm,Rm,m_hat_bi,m_hat_norm,pred_raw,pred_cases,beta_prime,eta,scale_factor
清远市,Qingyuan,2016,2,4,0,14.401631879964576,67.8745897791146,58.648154668440775,22.00115062180121,75.00773621875433,189.55291084181772,0.41245096051809726,0.45829570849119133,0.0519636318041775,0.081174850383427,0.0,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2016,3,4,2,16.831992458871376,80.38199251876122,338.11460770552145,22.00115062180121,75.00773621875433,189.55291084181772,0.5631149538295166,0.6257063055523161,0.07143607691393986,0.11159367915854314,0.10373580989978926,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2016,4,4,0,23.398458298366624,87.29047505951388,509.2872870130411,22.00115062180121,75.00773621875433,189.55291084181772,0.9937484975496508,1.1042056276811387,1.3717221397539028,2.142832123085087,0.5976054073919427,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2016,5,5,2,26.299363330347266,82.69827397392604,343.8378269542082,22.00115062180121,75.00773621875433,189.55291084181772,1.1796948480838867,1.3108202864332787,0.707242673223742,1.104817276822765,0.8331666415317291,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2016,6,4,0,28.170428467805976,86.37759006192817,366.244747614883,22.00115062180121,75.00773621875433,189.55291084181772,1.292423829908905,1.4360793197207538,2.860009077272126,4.467755637590826,0.9776776975014074,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2016,7,5,0,29.038700375854383,82.68780867308297,310.0289782025091,22.00115062180121,75.00773621875433,189.55291084181772,1.3419711886504024,1.491133966338083,0.9829151796458436,1.5354583557213233,1.0405409226106077,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2016,8,4,0,28.3526894075472,82.94558268690932,342.4803851274359,22.00115062180121,75.00773621875433,189.55291084181772,1.3029861002427658,1.4478156074962791,0.0663135419585983,0.10359152468730203,0.9911421095422666,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2016,9,4,2,27.08666975902475,75.83954673205723,104.04034058511348,22.00115062180121,75.00773621875433,189.55291084181772,1.228014780751916,1.3645110761177641,0.06417844658128864,0.1002561910743515,0.8951788659615796,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2016,10,5,1,24.72275273681554,73.73710591578082,142.48500826344934,22.00115062180121,75.00773621875433,189.55291084181772,1.0798738406044905,1.1999039746186355,1.745757539366804,2.727130536177177,0.7058039407282418,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2016,11,4,0,18.582623104379227,78.43022390950338,95.40026450704416,22.00115062180121,75.00773621875433,189.55291084181772,0.6759546028192492,0.7510883068808784,0.31993637527280144,0.4997877648901698,0.22298704843830372,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2016,12,4,0,16.288830266781126,66.36522007065051,9.93191176966589,22.00115062180121,75.00773621875433,189.55291084181772,0.5287625528229216,0.5875355665681837,0.06419630772380895,0.10028409281103587,0.06940105198557285,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2017,1,5,0,15.39759612482182,73.87460815486652,72.55914732176538,22.00115062180121,75.00773621875433,189.55291084181772,0.47320766138081355,0.5258056379928446,0.05204851045234387,0.08130744333981653,0.016142589967345505,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2017,2,4,0,15.181225870132526,66.39817466702655,54.59557310781437,22.00115062180121,75.00773621875433,189.55291084181772,0.45988425013641954,0.5110013029802677,0.05198316277138675,0.08120536063234551,0.0038220973401332033,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2017,3,4,0,17.212217275174876,82.82391383974247,198.886081001662,22.00115062180121,75.00773621875433,189.55291084181772,0.587364753695042,0.6526515191025047,0.05280270272686688,0.08248560281249258,0.12856339074231068,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2017,4,5,0,22.7425807972158,79.31124557354397,229.8111171370464,22.00115062180121,75.00773621875433,189.55291084181772,0.9505981971867261,1.0562590852568143,0.05771200900929965,0.0901546626746799,0.544220379768333,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2017,5,4,0,25.730024230436022,81.3129808618192,206.618705266964,22.00115062180121,75.00773621875433,189.55291084181772,1.1440698723455014,1.271235523494441,0.0619751774386102,0.09681435999361927,0.787544514718439,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2017,6,4,0,27.78467608814653,87.57129199913015,404.78929326266655,22.00115062180121,75.00773621875433,189.55291084181772,1.2698030996545302,1.4109442501224325,0.06535015094727692,0.10208656595963926,0.948763152189594,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2017,7,5,2,28.23360281113002,84.35648376348482,366.1137293021108,22.00115062180121,75.00773621875433,189.55291084181772,1.2960942123871597,1.440157672541638,0.066111159435857,0.10327537336312871,0.9823596333526093,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2017,8,4,2,29.128886068467423,80.29228354771317,154.2670941456979,22.00115062180121,75.00773621875433,189.55291084181772,1.3470015549917607,1.4967234679444972,3.1857167251058947,4.976558980692002,1.0468711022502406,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2017,9,4,0,28.50314148020245,81.12573827780767,140.6390024023756,22.00115062180121,75.00773621875433,189.55291084181772,1.3116419795555732,1.4574336050814811,3.8494548498088985,6.013415741774111,1.0021544311137072,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2017,10,5,4,24.0374406574198,64.10325462370261,46.39720911256613,22.00115062180121,75.00773621875433,189.55291084181772,1.0355047408206295,1.1506031607836567,0.500571823069333,0.7819669532903152,0.6498159784873411,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2017,11,4,1,18.658412053128306,77.27048688391216,93.9704587222046,22.00115062180121,75.00773621875433,189.55291084181772,0.6809007372192073,0.7565842139973851,0.743230295217508,1.161035245613092,0.2284169596141348,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2017,12,5,1,14.68890496061282,59.25623691239174,39.95543873282909,22.00115062180121,75.00773621875433,189.55291084181772,0.4298229433012888,0.47759862185456126,0.0519636318041775,0.081174850383427,0.0,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2018,1,4,0,12.375414691982185,67.2452963893608,95.35714209064516,22.00115062180121,75.00773621875433,189.55291084181772,0.2937625687561207,0.3264148649506453,0.0519636318041775,0.081174850383427,0.0,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2018,2,4,0,15.80020915602065,68.98785482024212,43.91934530313789,22.00115062180121,75.00773621875433,189.55291084181772,0.49817337831759484,0.5535463442265272,0.05855828725192311,0.09147667399957321,0.03971155270934813,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2018,3,4,0,19.21009657846345,72.68953621521665,111.7391122117357,22.00115062180121,75.00773621875433,189.55291084181772,0.7170246834396182,0.7967234089838264,0.05410311922710819,0.08451704501886165,0.2685357802727901,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2018,4,5,0,22.45273480142022,76.79898191299168,141.38550423352353,22.00115062180121,75.00773621875433,189.55291084181772,0.9314602648646226,1.0349939335364802,0.057353340490001875,0.08959436959314626,0.5207478528311978,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2018,5,4,0,27.9903136282459,80.1592196210952,159.80258965939083,22.00115062180121,75.00773621875433,189.55291084181772,1.2819058821614835,1.4243922810756677,0.06569826284834693,0.1026303680478485,0.9642449784828485,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2018,6,4,0,27.43701332658695,84.3144368463689,686.7118009145869,22.00115062180121,75.00773621875433,189.55291084181772,1.2491214613873256,1.387963806458243,0.06476428668453472,0.1011713596466488,0.9222614322358659,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2018,7,5,2,28.586861420205924,83.90096816691756,239.9773880696209,22.00115062180121,75.00773621875433,189.55291084181772,1.3164333925527627,1.4627575932023054,0.06671174867378006,0.10421358225726496,1.0082406639445713,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2018,8,4,3,27.94910109222037,86.03573316792787,308.8430118941434,22.00115062180121,75.00773621875433,189.55291084181772,1.2794882913843282,1.4217059702554278,2.7849214574751286,4.350457710347432,0.9611543746911114,5.19636318041775,1.5621473627811584
