city_en,year,month,cases,tem,rhu,pre,index_norm_city,beta_formula,risk_monthly,pool_obs_lag
Huizhou,2007,1,0,13.596003799322474,54.59928552776776,17.2041171796035,0.4769237768903279,0.1934348078352926,0.09225365913486254,1.0
Huizhou,2007,2,0,19.3087718503096,75.5701628616093,43.78387197126362,0.4769237768903279,0.19389552402802612,0.09247338564157553,1.0
Huizhou,2007,3,0,18.83915476086317,81.69037398889728,69.79437035297359,0.4769237768903279,0.19355062309549081,0.09230889418617781,1.0
Huizhou,2007,4,0,21.19683271781908,81.61827846810873,222.4797257510562,0.4769237768903279,0.19442997907551032,0.0927282799613998,1.0
Huizhou,2007,5,0,26.447559769917675,81.17617631159527,321.9451705641544,0.4769237768903279,0.19629978003933116,0.09362003249909841,1.0
Huizhou,2007,6,0,27.53810725586605,88.77919267601585,376.6129552462834,0.4769237768903279,0.1967439185254008,0.09383185270333709,1.0
Huizhou,2007,7,0,29.65017782999946,79.2747137779349,84.47537833019227,0.4769237768903279,0.1960505502743252,0.09350116889825828,1.0
Huizhou,2007,8,0,27.512813705525502,87.72111414710773,320.1035072117039,0.4769237768903279,0.19670061967335314,0.09381120245128352,1.0
Huizhou,2007,9,0,27.42547609750062,76.60597977305943,123.9568274699397,0.4769237768903279,0.19600816054238182,0.09348095222719847,1.0
Huizhou,2007,10,0,23.775567127484123,62.40052541020908,31.102768421783217,0.4769237768903279,0.19502639538629096,0.0930127250809363,1.0
Huizhou,2007,11,0,19.373912891521027,52.94010848324268,1.8627821232223496,0.4769237768903279,0.1944089000152485,0.09271822685636644,1.0
Huizhou,2007,12,0,16.72936894167796,58.77358800745803,8.808883323898238,0.4769237768903279,0.19393316848456504,0.09249133917796706,1.0
Huizhou,2008,1,0,12.606846951369764,72.53210255928605,56.66388945784533,0.4769237768903279,0.19246006271084448,0.09178878000860531,1.0
Huizhou,2008,2,0,11.706828498575195,63.04390031220253,31.254964473152167,0.4769237768903279,0.19275180244367918,0.09192791762385781,1.0
Huizhou,2008,3,0,19.53179987930354,71.81869354460211,68.66689605178829,0.4769237768903279,0.1941601907186095,0.09259961147926563,1.0
Huizhou,2008,4,0,23.84629977895755,82.6145329226866,165.5644282293692,0.4769237768903279,0.19516370944043182,0.09307821341825728,1.0
Huizhou,2008,5,0,25.02693604106435,82.4996689276835,210.87796022111831,0.4769237768903279,0.19566426923270766,0.09331694228494891,1.0
Huizhou,2008,6,0,26.587305075544258,89.1847888236579,852.8048010139034,0.4769237768903279,0.1917265426838625,0.09143894686691237,1.0
Huizhou,2008,7,0,28.0957254484021,84.93475355516385,230.20375795719127,0.4769237768903279,0.1966512670928835,0.09378766503220665,1.0
Huizhou,2008,8,0,27.9957321881864,84.66549902595942,271.231612886213,0.4769237768903279,0.1967869597263705,0.09385238007546547,1.0
Huizhou,2008,9,0,27.73612528599457,76.96275046553207,119.24581120147718,0.4769237768903279,0.1960355469358689,0.09349401344941573,1.0
