week,observed,predicted,bi,m,R0,i_v,i_h
72,2.481212231117559,3.074671325979918e-23,2.9161017584816546,29.16101758481655,254.90399986727752,5.5700299552506376e-11,2.193999804466903e-30
73,2.37453930630597,1.1300505557032858e-23,2.874184212894052,28.74184212894052,251.23987874948006,3.9251337689713996e-11,8.063725957637261e-31
74,2.8919029916421772,4.1535744663248654e-24,2.8272878131006802,28.272878131006802,247.14054310320628,2.76599501763835e-11,2.963875029488273e-31
75,4.385323939004422,1.5268385837637247e-24,2.7805136329259783,27.80513632925978,243.05189099003306,1.949163745215513e-11,1.0895094789237368e-31
76,5.878744886366668,5.613747323019265e-25,2.7420918576316744,27.420918576316744,239.6933441985729,1.373552476210321e-11,4.005813702739592e-32
77,7.372165833728914,2.0648112892393752e-25,2.720470182798627,27.20470182798627,237.80333765722264,9.679260706210721e-12,1.473391814784769e-32
78,8.833584903647683,7.600249422941413e-26,2.724095491168633,27.24095491168633,238.12023524201336,6.8208597371746275e-12,5.4233262615537416e-33
79,9.793641226951983,2.801503970417159e-26,2.7569359523835426,27.569359523835427,240.99090492863132,4.806578618587843e-12,1.9990751893942906e-33
80,10.753697550256284,1.0354959958274804e-26,2.8079860063406388,28.079860063406386,245.4533222325733,3.3871387049275033e-12,7.3890109592370514e-34
81,11.713753873560586,3.84782356559716e-27,2.863114485921118,28.63114485921118,250.272245272825,2.386876303666621e-12,2.7456997042936783e-34
82,12.673810196864887,1.4444072796986893e-27,2.908190224006178,29.08190224006178,254.2124321683722,1.682003302881324e-12,1.0306887967023614e-34
83,19.474209153603717,5.525039932620727e-28,2.930943870453705,29.30943870453705,256.20138727742176,1.1852876944472078e-12,3.942514580148942e-35
84,28.434734837777192,2.184722358352347e-28,2.936439116073061,29.36439116073061,256.68174091547735,8.352581211947258e-13,1.558957013238438e-35
85,37.39526052195067,9.121125560795894e-29,2.9391663082720516,29.391663082720516,256.92013184196253,5.885964498662197e-13,6.508581105177605e-36
86,46.355786206124144,4.1239769105215344e-29,2.9537099963662485,29.537099963662484,258.1914332487979,4.1477690788516084e-13,2.942755038191476e-36
87,49.34262810084856,2.0624625126752047e-29,2.994078805923141,29.940788059231412,261.7201753429319,2.922883468866957e-13,1.4717157932604571e-36
88,43.368944311399595,1.1476200282917556e-29,3.0518923268036477,30.518923268036477,266.77380479052863,2.0597211682143844e-13,8.189096819550133e-37
89,37.39526052195063,7.004491577089878e-30,3.089685999590698,30.89685999590698,270.0774475166694,1.451460975430196e-13,4.998210059290622e-37
90,31.421576732501666,4.558917436092806e-30,3.0680515222174494,30.680515222174492,268.1863218721546,1.0228272621109934e-13,3.2531164807284193e-37
91,25.630837009104557,3.0674313798149523e-30,2.9475856463615484,29.475856463615486,257.65608796866684,7.207741894730562e-14,2.1888335805729645e-37
92,22.270639877539505,2.077418704970037e-30,2.706914629719798,27.069146297197978,236.61841168879351,5.079209867151206e-14,1.4823881154345918e-37
93,18.91044274597445,1.3887914378621067e-30,2.3831825088375505,23.831825088375503,208.32014937391173,3.5792586986816013e-14,9.910028813059132e-38
94,15.550245614409398,9.065599776697982e-31,2.025384675218358,20.25384675218358,177.04411496663968,2.5222609750664446e-14,6.468959452474656e-38
