week,temperature,bi,bi_normalized,observed_cases,predicted_cases,L,P,M_total,I_m,E_h,I_h,R0
117,22.545092776831872,3.351688676873817,0.9902722286808592,2.314269103787422,0.0006629837232486534,5539406337.882663,1464082828.123615,430256005.16634834,1.2900841583768525,0.001190400100577423,0.0006629837232486535,0.027082107822328744
118,23.311563651881183,3.1280446850064867,0.9241955564094616,2.3676055661932165,0.0034131937591056053,10972277852.363327,3304430093.7311697,1227431219.931615,5.311252576117224,0.0061821261328522505,0.0034131937591056053,0.05891860957946562
119,24.024418866158975,2.841176557678031,0.8394390151032389,2.420942028599011,0.016181151482879182,17879420317.089855,6096106639.718855,2937999130.4101257,19.17038553855554,0.027910159018300254,0.016181151482879182,0.11101155353920286
120,24.721199972473432,2.5510414413655536,0.7537172264920965,2.4742784910048052,0.06397711930445107,24899575510.741035,9403588840.598274,5849466906.311408,57.15819761760913,0.10193803443505525,0.06397711930445109,0.18226841229469
121,25.439448523632745,2.31759648254616,0.6847448123059399,2.5276149534105996,0.20591883002831024,31071110282.58304,12693920155.578903,9977531925.465918,141.2696458823319,0.30033368094889656,0.20591883002831024,0.26522447245433317
122,26.208069867514023,2.193588429637068,0.6481060481581908,3.026844241528831,0.5462250704488038,36454496657.49232,15741698196.891554,15091337975.906506,296.10084800500675,0.7293502539351335,0.5462250704488038,0.3452984867082099
123,26.98325852499926,2.171057504278665,0.6414491799881679,3.6668817903983646,1.217129990622103,42117273801.57274,18798380420.476337,20845127620.017513,537.517806261015,1.48946865156563,1.217129990622103,0.40375136361300146
124,27.684786870879005,2.211634949444135,0.6534379775562238,4.306919339267899,2.309660313874288,48403213242.34827,22040309130.52636,26755358940.435787,856.5233637677366,2.5845009762545508,2.309660313874288,0.43260905564038615
125,28.232155313146162,2.2767249420648317,0.6726691228896376,4.946956888137432,3.7810533737999097,54709788823.04741,25295645342.38404,32214485177.90217,1212.408148307661,3.8632818740518786,3.78105337379991,0.44083229913619065
126,28.54726902591919,2.3284333836907085,0.6879466258641178,5.678733152344932,5.443779636153421,60264054477.05802,28244652319.79341,36774856676.94331,1552.8620688480187,5.108333453648234,5.443779636153421,0.44642265880374643
127,28.63085958824092,2.3518681752526955,0.6948705455673063,6.532116550837643,7.094923603913034,64568696361.86956,30635143432.40166,40510243274.48852,1854.0187931094322,6.222497330963588,7.094923603913035,0.46134798201251304
128,28.578301870732894,2.3597546757707444,0.6972006493440643,7.385499949330355,8.659000782842133,67840795867.61351,32492254308.929695,43879889798.573494,2133.2172049400815,7.274638233991092,8.659000782842133,0.4848789458900441
129,28.490572085446868,2.3664527479851443,0.6991796263729827,8.238883347823066,10.185803239049102,70685560106.31935,34051205420.04824,47222387867.65593,2419.139133237296,8.364984624093204,10.185803239049102,0.5110657378045121
130,28.468620416898478,2.386318239927476,0.7050489796680277,9.844310866237441,11.755480937840646,73473863611.90541,35512290046.983925,50602382141.96691,2726.779421229159,9.540168514742092,11.755480937840646,0.5310995869339826
131,28.578858509216985,2.42837948117248,0.7174761717864865,18.218135463947206,13.387772097262925,76429955131.36884,37009908848.907875,53793105664.01884,3043.928365699872,10.745637050913817,13.387772097262927,0.5368083711981066
132,28.78507143174372,2.4858348048553274,0.7344516181713403,26.59196006165697,14.985719167350844,79544389527.356,38571744718.40284,56370065962.46354,3329.5064762680913,11.816719257734245,14.985719167350844,0.5281791573302633
133,29.03207018001318,2.548955821462329,0.7531010202543281,34.96578465936673,16.359640664409998,82385682908.52599,40038675615.35026,58016676842.50829,3537.15957072829,12.573892441885274,16.359640664409998,0.5089791298224964
134,29.264665749559825,2.608014141479794,0.7705500794671878,43.339609257076496,17.307873252964075,84510610736.422,41205185384.08979,58584808479.74023,3634.176454281384,12.892977051483042,17.307873252964075,0.48543382682741415
135,29.42921956191044,2.6532842935118146,0.7839253594133204,53.027644288465005,17.71053606425173,85706624765.10667,41939993264.2748,58184823041.44858,3616.9593791453676,12.77357634691594,17.71053606425173,0.46522116067503516
136,29.484723430826737,2.6750645783207774,0.7903604472924228,63.10823568316013,17.60134639752504,86091695723.63245,42253031706.754845,57242838892.28615,3518.2993090522127,12.362664538913988,17.60134639752504,0.45521526913634147
137,29.39632355635308,2.6636648800817064,0.7869923526780915,73.18882707785525,17.171658531453378,85996437202.24297,42271356784.193886,56383211051.161316,3397.2618741439037,11.898460960696015,17.171658531453378,0.4616205681697956
138,29.129207458729795,2.6093951607399886,0.7709581081215434,83.26941847255037,16.717747014677826,85774327209.71985,42166889407.09485,56285143825.21116,3323.7282650739007,11.647637910485512,16.717747014677826,0.49072413217722516
139,28.649837663630986,2.503436832039478,0.7396522201273692,97.66812986361859,16.582558631777186,85568842053.91267,42051560364.15159,57568734873.58165,3369.0563072512364,11.877947088077338,16.582558631777186,0.5480012998454449
140,27.964269878239534,2.3640327355288138,0.6984646222781511,117.56263034097987,17.120570382269754,85000395872.4549,41832519442.20991,60635942834.5888,3603.4045409789064,12.850433723965919,17.120570382269754,0.6290843804917642
141,27.12486904165738,2.241077476548677,0.6621369110624843,137.45713081834114,18.634935691785152,83682275095.9437,41344512967.97285,65316289287.538666,4078.6496140017175,14.726554468577532,18.634935691785156,0.709361700482024
142,26.186628654151182,2.186262248153492,0.6459414932830562,157.35163129570242,21.230663694380908,81897488438.6231,40622880536.21677,70678654112.97815,4791.592515127583,17.380541541178175,21.230663694380908,0.7467090474312557
143,25.204526555173228,2.2512510398125958,0.6651427383150271,171.83088074500412,24.581002119699264,80326000705.84248,39889372110.92213,75202104745.74435,5634.831484868501,20.18228680199066,24.581002119699264,0.7068497896677278
144,24.217511405307917,2.459864389163355,0.7267785363590268,142.49582642181704,27.737600536291417,80000281729.17664,39538025241.01929,77165111916.07959,6360.981259041571,21.966649029517285,27.73760053629142,0.5958818799956977
145,23.21827430234595,2.755571230549571,0.8141465174236744,113.16077209862999,29.299051197606126,80709182181.12523,39554594047.463394,75146037728.67453,6635.081577113029,21.53607285742103,29.299051197606126,0.44798939991625103
146,22.19121153666877,3.067432020347504,0.9062872587408007,83.82571777544293,28.040200104864127,78828980995.80968,38680817072.29989,68110721431.57948,6184.394613807608,18.39483819937033,28.04020010486413,0.29927394143053043
147,21.120719398657805,3.3245072149334085,0.9822413375422352,54.49066345225586,23.71714064184316,71086014475.71484,35605401134.770065,55930110233.77306,4985.728448905564,13.283177566690673,23.71714064184316,0.17516042427453754
148,19.998090277310897,3.4647413264448534,1.0236741672384124,39.84127068788037,17.424982403547244,56788305077.92749,29956105217.76726,40248506490.34312,3357.9983085520985,7.890936803309332,17.424982403547244,0.08792806975431904
149,18.86898796118084,3.4961240581246895,1.0329463433379156,29.333987593938883,11.031618899768606,38798550503.998566,22687466179.53087,24487527862.970505,1819.6566880205785,3.781610843904162,11.031618899768606,0.03794071894397987
150,17.80484485479532,3.4598421183555135,1.0222266731000467,18.8267044999974,6.055454029746831,22671800347.025703,15661643308.70196,12330504778.324846,769.4067126914213,1.4715123689330853,6.055454029746832,0.014544946083663251
151,16.877248097375123,3.3972815560047342,1.003742859870586,8.319421406055923,2.9430110117506136,11690924666.999332,10150426146.013697,5200308551.83018,250.74527354997718,0.48161068275836955,2.943011011750614,0.005276328570275314
152,16.155697062470658,3.349031449672558,0.9894871383707542,2.324403031644528,1.3036550236447444,5635605096.3650255,6370476298.69313,1949313132.309075,63.81570101061663,0.13946854097776465,1.3036550236447444,0.00199394629426454
153,15.648195112329574,3.3322057853013853,0.9845159164697338,1.844374869992376,0.5413810948314932,2760775604.7173824,3958307654.860735,725342030.3838568,13.254914895677588,0.03752017619103822,0.5413810948314933,0.0008529089348406485
154,15.292675152880237,3.337170302568147,0.9859827065126163,1.3643467083402239,0.21546605617194658,1465069903.243792,2460560039.2832565,298856463.01958436,2.3922647625150324,0.009695789989222053,0.21546605617194658,0.0004236832509099191
155,15.023258270973837,3.352835641800464,0.990611104878391,0.8843185466880719,0.0834340037472737,842396810.877849,1536178006.9244618,140793983.10306692,0.4011207084316499,0.0024523042803467634,0.0834340037472737,0.00023845243599152565
156,14.77412062849826,3.3681164928218235,0.9951259043887011,0.46829413992287566,0.03174202435251025,508724616.528486,964639423.783899,73238540.61915264,0.06843533919654728,0.0006133448932004329,0.03174202435251025,0.00014267637315064637
157,14.52399613183795,3.3752037375832415,0.997219864282268,0.52163060232867,0.011938764478882995,311301974.3812112,609663060.8636655,39917159.82686821,0.013703217632446595,0.00015257341336596342,0.011938764478882995,8.704453899393294e-05
158,14.37651867150435,3.375471764726896,0.9972990541660794,0.5749670647344644,0.004457002072406067,190126295.94622332,387725422.5238451,22147627.23645475,0.0036879462375514287,3.7880700007672924e-05,0.004457002072406067,5.7855896307704774e-05
159,14.457042100625607,3.3718919640748775,0.9962413851783934,0.6283035271402586,0.0016557886302832664,119968608.32073556,247431009.35935548,12920338.062206889,0.001390249793425079,9.416070866820183e-06,0.0016557886302832664,4.703221411517845e-05
160,14.890920272329875,3.367435725449274,0.9949247684574676,0.681639989546053,0.0006131535747706374,77708887.77045076,157520461.9483899,8367612.1535803275,0.0007614529448027031,2.358796848219446e-06,0.0006131535747706375,5.2660674974329684e-05
161,15.775559031606768,3.36476484391735,0.9941356439109634,0.6507048413506928,0.00022659077960602,56574510.2727214,99327566.83066094,6329966.9914994,0.0006767504873565176,6.181664096881329e-07,0.00022659077960602002,8.720512808453907e-05
162,16.995047489656532,3.364178093125643,0.9939622856219932,0.5973683789448981,8.366729994135833e-05,55121303.642582916,62400228.20781017,5772459.833713752,0.0010633760363287779,2.3674131156712173e-07,8.366729994135833e-05,0.0001897319741431714
