week,observed_cases,predicted_cases,Lambda_v,R0,N_v,I_v,I_h
95,1.8822437583004865,1.1377569502670177e-10,1687.6997,0.03161275675008585,33129.15627800944,2.2224744395786646e-11,1.1366203299370809e-10
96,2.06572118897642,8.18100935311099e-11,1690.3015,0.0316614918894582,33321.81328834484,1.5985171464967488e-11,8.172836516594396e-11
97,1.9057118017590366,5.883204088327689e-11,1687.8992,0.031616492943092066,33457.30508581173,1.1498749305507555e-11,5.877326761566124e-11
98,1.7457024145416533,4.231283122877076e-11,1679.7057,0.03146301864029525,33520.49558367338,8.272287471517527e-12,4.227056066810266e-11
99,1.5856930273242698,3.0435323126783325e-11,1668.6471,0.03125587714897407,33507.66857185281,5.951511495126979e-12,3.040491820857475e-11
100,1.4256836401068864,2.189390556952972e-11,1667.3544,0.031231662776920344,33463.84149445275,4.281923583940375e-12,2.1872033535993726e-11
101,1.3856812933025404,1.5750582539210123e-11,1668.9377,0.031261321381255466,33434.314224332,3.0806978240338364e-12,1.5734847691518607e-11
102,1.3856812933025404,1.1331475756070259e-11,1666.9873,0.031224787175714912,33411.80603164031,2.2164309449325537e-12,1.1320155600469789e-11
103,1.3856812933025404,8.152369390945762e-12,1670.961,0.03129922064629706,33402.94503271718,1.5946073815037842e-12,8.144225165779982e-12
104,1.3856812933025404,5.865203443716589e-12,1674.8491,0.031372048971536275,33419.89762025148,1.147228139018297e-12,5.859344099616973e-12
105,1.4752865501442756,4.219700902677726e-12,1683.7002,0.031537840821288084,33470.34272913388,8.253664162201976e-13,4.215485417260466e-12
106,1.6886323997674535,3.0358478443677197e-12,1668.8918,0.031260461645288305,33484.21015185648,5.938140423523943e-13,3.0328150293383817e-12
107,1.9019782493906314,2.1841387138980848e-12,1649.0724,0.030889218051235873,33390.867568302354,4.2722597360843047e-13,2.181956757140944e-12
108,2.1153240990138094,1.5713841968598844e-12,1619.9524,0.030343763597242602,33178.961843319186,3.0736371429902755e-13,1.569814382477407e-12
109,2.314269103787422,1.1305266304158991e-12,1586.984,0.029726223940854068,32845.61075260408,2.211116952194832e-13,1.1293972331827166e-12
110,2.3676055661932165,8.133226426276204e-13,1560.1375,0.02922335385561704,32435.113774215246,1.5904065644952324e-13,8.125101324951253e-13
111,2.420942028599011,5.850735399277276e-13,1541.5635,0.028875439745801073,32013.137334306404,1.1437200981694471e-13,5.844890508768509e-13
112,2.4742784910048052,4.208271488754818e-13,1524.7413,0.02856033965424224,31611.54421747547,8.223086205095229e-14,4.2040674213334846e-13
113,2.5276149534105996,3.0263954670600257e-13,1512.5721,0.028332395296354035,31243.732944717372,5.910863774584961e-14,3.023372094965061e-13
114,3.026844241528831,2.176028673817166e-13,1503.7894,0.028167883904425654,30923.249557634204,4.247876195532831e-14,2.173854818998168e-13
115,3.6668817903983646,1.56428195056674e-13,1498.0123,0.028059671499155142,30654.923822809003,3.0521499044032626e-14,1.5627192313354046e-13
