week,temperature,observed,predicted,M,R0,a_T,b_T,c_T,b_vh,I_h,E_h
79,29.283712968086622,9.793641226951983,12.767332820002055,7000000.0,4027.20253551762,0.5350348025041517,0.73328354065333,1.0001745122447103,161.99660958792074,10.943428131430334,9.119523442912513
80,29.006740835754844,10.753697550256284,12.767332820021466,7000000.0,4032.0659340509887,0.5328277689416848,0.7247657656579141,0.9910041023612964,159.45438895159276,10.94342813144697,9.119523442912513
81,28.699373369647912,11.713753873560586,12.76733282004087,7000000.0,4009.617565402697,0.5294599474184818,0.7142147493101572,0.9798931769566318,156.13989488167942,10.943428131463603,9.119523442912515
82,28.410242518420922,12.673810196864887,12.767332820060279,7000000.0,3962.8009474537776,0.5254736597092968,0.703310961160322,0.9686007606055747,152.59850995597216,10.943428131480239,9.119523442912516
83,28.18343124418534,19.474209153603717,12.767332820061442,7000000.0,3909.462068424234,0.5218288522525113,0.6941385805575322,0.9592058879537632,149.56370916806878,10.943428131481237,9.119523442912516
84,28.02067260514915,28.434734837777192,12.767332820062014,7000000.0,3862.6140265505824,0.5189484200291791,0.6872402904892965,0.9521879804531468,147.25998864424378,10.943428131481728,9.119523442912516
85,27.900667463254656,37.39526052195067,12.767332820062586,7000000.0,3823.6754902089033,0.5166887564124101,0.6819921090330631,0.9468713207270402,145.49910322806144,10.943428131482218,9.119523442912516
86,27.80188651646128,46.355786206124144,12.767332820063157,7000000.0,3788.921068938463,0.5147449178465572,0.6775723521309714,0.9424069827877477,144.01233761133747,10.943428131482706,9.119523442912516
87,27.702150563251706,49.34262810084856,12.767332820063729,7000000.0,3751.4330643194135,0.5127075049320079,0.6730209661585211,0.9378208163994569,142.4787919584451,10.943428131483197,9.119523442912516
88,27.554015559951477,43.368944311399595,12.7673328200643,7000000.0,3691.471824749021,0.5095466441537517,0.666100984368431,0.9308670540234899,140.14447372217165,10.943428131483687,9.119523442912516
89,27.277217539312225,37.39526052195063,12.76733282006487,7000000.0,3566.5587811055548,0.5032271260568619,0.652681436912254,0.9174366070585105,135.61797651766818,10.943428131484175,9.119523442912516
90,26.789299123351675,31.421576732501666,12.767332820065443,7000000.0,3310.5238882387544,0.49087195040304177,0.62759589340287,0.8924718452908653,127.20385269089248,10.943428131484666,9.119523442912516
91,26.0078164600277,25.630837009104557,12.767332820066015,7000000.0,2829.5700171939657,0.4682421642057976,0.5841172891594303,0.8494573433099001,112.93343432043605,10.943428131485156,9.119523442912516
