week,temperature,observed,predicted,M,R0,phi,mu_m,a,b,c
38,25.2289430894309,86.0,2726513.265749471,1484895646.343393,599.1412606419037,6.521846010179127,0.04548933514178066,0.442770536380326,0.5450825301685522,0.801548812349435
39,25.2289430894309,86.0,2413334.0710049747,1520191231.7676196,613.3826934309621,6.521846010179127,0.04548933514178066,0.442770536380326,0.5450825301685522,0.801548812349435
40,22.8348333333333,19.25,2129129.9467764637,1554176331.1147978,238.99486934619094,6.189724399444442,0.04348243468333329,0.3518238227896142,0.3867492402372587,0.6518219267928136
41,22.8348333333333,19.25,1872915.605513902,1572313596.1674585,241.78394366470707,6.189724399444442,0.04348243468333329,0.3518238227896142,0.3867492402372587,0.6518219267928136
42,22.8348333333333,19.25,1643229.2935814804,1590909382.1859572,244.6435274589687,6.189724399444442,0.04348243468333329,0.3518238227896142,0.3867492402372587,0.6518219267928136
43,22.8348333333333,19.25,1438319.7121770473,1609281900.2492387,247.46877802171846,6.189724399444442,0.04348243468333329,0.3518238227896142,0.3867492402372587,0.6518219267928136
44,16.7198380566802,2.25,1256283.6741780024,1627080885.9184015,0.0,4.300762169515989,0.06957632519792134,0.09721541549411843,0.0,0.24876708300561087
45,16.7198380566802,2.25,1095165.6518235966,1555502877.763037,0.0,4.300762169515989,0.06957632519792134,0.09721541549411843,0.0,0.24876708300561087
46,16.7198380566802,2.25,953028.2882052828,1488085305.25281,0.0,4.300762169515989,0.06957632519792134,0.09721541549411843,0.0,0.24876708300561087
47,16.7198380566802,2.25,828000.7025641962,1424639926.3057818,0.0,4.300762169515989,0.06957632519792134,0.09721541549411843,0.0,0.24876708300561087
48,14.3283870967742,1.75,718310.1751704285,1365070229.923169,0.0,3.155172270551514,0.09198676736732564,0.0106964724352085,0.0,0.11119665901091073
49,14.3283870967742,1.75,622301.3365179283,1265477351.549814,0.0,3.155172270551514,0.09198676736732564,0.0106964724352085,0.0,0.11119665901091073
50,14.3283870967742,1.75,538446.2108965232,1173863264.5877545,0.0,3.155172270551514,0.09198676736732564,0.0106964724352085,0.0,0.11119665901091073
51,14.3283870967742,1.75,465347.63449701865,1089480782.8218808,0.0,3.155172270551514,0.09198676736732564,0.0106964724352085,0.0,0.11119665901091073
52,13.9564511106892,3.75,401737.98121608724,1011806925.7671778,0.0,0.0,0.09608888546373706,0.0,0.0,0.09175224952915816
53,13.9564511106892,3.75,346474.67548136157,934685097.5259773,0.0,0.0,0.09608888546373706,0.0,0.0,0.09175224952915816
54,13.9564511106892,3.75,298533.6022454561,863487171.924679,0.0,0.0,0.09608888546373706,0.0,0.0,0.09175224952915816
55,13.9564511106892,3.75,257001.24540733424,796973890.1352555,0.0,0.0,0.09608888546373706,0.0,0.0,0.09175224952915816
56,16.930415959253,2.25,221066.1576271365,734383692.761527,0.0,4.390677864111726,0.06793174387291323,0.10544863957635721,0.0,0.26176912092521687
