week,temperature,bi,observed_cases,predicted_cases,L,P,S_m,E_m,I_m,S_h,E_h,I_h,R_h,R0
54,13.930309239558666,3.366666667711681,2.4870792419821965,0.05695168901360348,2783093685.454818,6964598418.108111,318704707.7785347,0.020191432880360898,0.03153119394259708,13998790.699114809,0.0006445864225629098,0.05695168901360348,1209.243288915751,0.0001660359982162907
55,13.85579341510941,3.3666666677859154,2.9137709412285524,0.021225306197418903,1980868131.3813133,4477723296.022124,185752143.6862618,0.0266897199872576,0.010866923246355988,13998790.699113887,0.00015939457996873776,0.021225306197418903,1209.2795014124192,0.00012607322629710905
56,13.91089667621294,3.366666667073349,3.3404626404749083,0.007876167769016205,1427409854.4372864,2896301567.7550783,114238802.47553355,0.01677955799856364,0.006347174221436999,13998790.699113445,3.952955289405268e-05,0.007876167769016205,1209.2929708573217,9.926611552613976e-05
57,14.13300056711072,3.366666665308234,3.236989903407667,0.0029143524321125604,1047508819.6232684,1879547593.6428137,75202326.3186758,0.010950632439699041,0.004048436487251008,13998790.699113177,9.885855099380629e-06,0.0029143524321125604,1209.2979625845771,3.2951068101468865e-05
58,14.56005604305295,3.366666663266912,2.9169711289729,0.0010763482829756392,789718963.2395788,1220744206.7608678,53745616.88472658,0.003511353543245661,0.0017622655680614603,13998790.699113121,2.467314846137679e-06,0.0010763482829756392,1209.299808063146,3.883083609675598e-05
59,15.23034102495658,3.366666662324109,2.596952354538134,0.00039702811603532415,619212489.9896846,792700232.569502,42251137.684954934,0.0034095896705684803,0.001261266207961608,13998790.699113077,6.300219049499947e-07,0.00039702811603532415,1209.3004892653091,5.691740227932123e-05
60,16.182137325318877,3.3666666638616736,2.276933580103367,0.00014634712165663565,623071726.2439187,523586177.0544852,37186767.85899974,0.0048507665576385355,0.0016730788458615752,13998790.699113017,1.9230110747040783e-07,0.00014634712165663565,1209.3007404436291,0.00010487276249733258
61,17.451800224493596,3.3666666692016545,2.037986228525407,5.39815080019129e-05,812595849.669788,380851547.0575036,38411613.69165957,0.009464618940754874,0.0032774073410969788,13998790.699112821,1.6440736583655067e-07,5.39815080019129e-05,1209.3008330327143,0.000244452236733126
62,18.99112066225382,3.3666666770411515,1.9313133037138184,2.022394300552006e-05,1439832527.7887087,386571925.7430576,53110635.38386201,0.026874227457306162,0.009264896185622627,13998790.699111817,6.452342978729732e-07,2.022394300552006e-05,1209.3008673134182,0.0007066117696078969
63,20.636090643756855,3.3666666824827733,1.8246403789022294,9.859739530100164e-06,3771952262.0148563,765195086.6291313,124763979.62729485,0.12294446706386668,0.039709920856611805,13998790.699104175,4.962226702056688e-06,9.859739530100164e-06,1209.3008810030622,0.0024864960937258807
