week,temperature,bi,bi_normalized,observed_cases,predicted_cases,L,P,S_m,E_m,I_m,M_total,S_h,E_h,I_h,R_h,R0
151,16.877248097375123,3.3972815560047342,1.003742859870586,8.319421406055923,2.931764702319715,34646711579.36236,29858632293.581425,15281819616.155384,53.73844394996776,427.80770316711136,15281820097.70153,13997168.977825446,0.47944740771294775,2.931764702319715,2827.6109624439127,0.005275585676440779
152,16.155697062470658,3.349031449672558,0.9894871383707542,2.324403031644528,1.2985143151162155,16825061680.736513,18747241557.675697,5729776956.356146,10.929382975861413,108.86205742293481,5729777076.147587,13997168.933033928,0.13882813862733367,1.2985143151162157,2829.629623617981,0.0019939183867088714
153,15.648195112329574,3.3322057853013853,0.9845159164697338,1.844374869992376,0.5392040452725826,8346117058.230785,11656853870.556921,2133198172.4466228,2.0919735147025067,22.60867654827835,2133198197.1472728,13997168.926112114,0.037345692015705596,0.5392040452725826,2830.4973381491914,0.0008531250794757666
154,15.292675152880237,3.337170302568147,0.9859827065126163,1.3643467083402239,0.21458907000208183,4509311683.470577,7258663482.668836,880022570.0446149,0.45769144546966023,4.080084167076843,880022574.5823905,13997168.925115377,0.009650371061514928,0.21458907000208183,2830.8506451822254,0.00042405553784652313
155,15.023258270973837,3.352835641800464,0.990611104878391,0.8843185466880719,0.08309179830827462,2665403850.335939,4546830564.315808,415618654.0792114,0.13212851900658723,0.6841191310222899,415618654.89545906,13997168.924976332,0.0024407666013873627,0.08309179830827464,2830.989491102977,0.0002389588365163883
156,14.77412062849826,3.3681164928218235,0.9951259043887011,0.46829413992287566,0.03161118828514256,1670526473.7658525,2869790985.950849,217093277.0425612,0.049457264425548535,0.11677637637099418,217093277.20879483,13997168.924956843,0.0006104532461253481,0.03161118828514256,2831.0428215152115,0.00014327528152983002
157,14.52399613183795,3.3752037375832415,0.997219864282268,0.52163060232867,0.011889335495561487,1064248482.9381571,1826030070.362841,119019150.95965512,0.02112375728332713,0.02343848943642416,119019151.00421736,13997168.9249539,0.00015185261679284386,0.011889335495561487,2831.06300491161,8.766697073082055e-05
158,14.37651867150435,3.375471764726896,0.9972990541660794,0.5749670647344644,0.004438504614232406,678250453.6601762,1170733979.1268067,66531050.706952736,0.009434538421513532,0.006345677775489461,66531050.72273295,13997168.924953347,3.770277628043834e-05,0.004438504614232406,2831.070570445537,5.848736794051933e-05
159,14.457042100625607,3.3718919640748775,0.9962413851783934,0.6283035271402586,0.0016488952705595316,452164605.3709394,754571143.8898004,39166664.22629239,0.004760528268778886,0.002413558337990537,39166664.23346647,13997168.92495319,9.372612903686089e-06,0.0016488952705595316,2831.0733885415066,4.77620150605294e-05
160,14.890920272329875,3.367435725449274,0.9949247684574676,0.681639989546053,0.0006105990533654699,310680684.31029826,486653264.8120542,25658367.837340478,0.0031660655507289295,0.0013366116640249317,25658367.841843154,13997168.924953122,2.3487573777169208e-06,0.0006105990533654699,2831.0744339304974,5.378560112823347e-05
161,15.775559031606768,3.36476484391735,0.9941356439109634,0.6507048413506928,0.0002256473925784588,244112633.93945062,313177851.49314386,19726231.424881607,0.003237316601625294,0.0012045862561776645,19726231.429323513,13997168.924953056,6.168657529281457e-07,0.00022564739257845883,2831.0748206792423,8.979025949232229e-05
162,16.995047489656532,3.364178093125643,0.9939622856219932,0.5973683789448981,8.332169590892292e-05,260705269.6048724,205704633.0170562,18529982.45200293,0.005530865390010956,0.001932088299256111,18529982.459465884,13997168.9249529,2.407749874944305e-07,8.332169590892292e-05,2831.074963537492,0.00019827293382039814
163,18.335153336387357,3.364885088732468,0.9941711708087556,0.5440319165391034,3.0954290154370625e-05,393838086.0760815,158088544.1507135,21335611.72372038,0.013604966521703676,0.004789135388258443,21335611.74211448,13997168.924952231,4.570036270868722e-07,3.0954290154370625e-05,2831.0750163573584,0.00048298603782527256
164,19.581119300186366,3.3660896311218362,0.9945270585392273,0.49069545413330884,1.2686997930612555e-05,780100127.4425843,193592433.5160344,33175773.422522895,0.04189489762363113,0.015005187192419379,33175773.47942298,13997168.924948446,2.422366601253367e-06,1.2686997930612557e-05,2831.0750364441833,0.0011920353863914723
165,20.52487008158166,3.3670118992159943,0.9947995469977601,0.609102400674175,1.2188922582910574e-05,1979034395.4759228,419953047.5295131,79400753.08603232,0.16268291830433204,0.05656284997057155,79400753.3052781,13997168.924925653,1.4729843166925776e-05,1.2188922582910576e-05,2831.0750474279703,0.002937474307548607
166,21.145246016525185,3.36733023081845,0.9948935995711982,0.9291211751089409,4.839016577579209e-05,5397021018.433771,1193827872.997987,254823945.2284789,0.7260985765609898,0.2470642140829266,254823946.20164168,13997168.924791101,8.818249823781574e-05,4.839016577579209e-05,2831.07507232597,0.006970399698959627
167,21.62857127073995,3.3672315384119376,0.9948644404341861,1.2491399495437068,0.0002605263195936524,12204491921.538849,3100553410.449764,804634568.1995664,2.993634127065871,1.079119112925144,804634572.2723196,13997168.92405893,0.00048122397993795204,0.0002605263195936524,2831.075199320615,0.015199873346561674
168,22.17197968017587,3.3669292306383087,0.9947751221765553,1.5691587239784726,0.0012809277026725931,22672301608.249626,6597772498.761894,2136647376.8273344,10.177205591698092,4.116145606479292,2136647391.1206856,13997168.92062072,0.0022471713518064248,0.0012809277026725934,2831.075851180112,0.030692719120073403
169,22.972448852862012,3.3666366169655224,0.9946886680867433,1.9585148995407695,0.005472457141045122,37865564496.76814,12212922393.85638,4891827231.294011,29.708177546086414,13.521491718954197,4891827274.523681,13997168.906674365,0.0090652889867741,0.005472457141045122,2831.0787878892907,0.061639025093486254
170,24.124977394864718,3.366502270322416,0.9946489747373571,2.8118982980334843,0.02135362355956237,61562129277.55452,21360897621.89723,10462787276.479614,82.43772667774188,41.0082355717663,10462787399.925577,13997168.853737526,0.034304606860292366,0.021353623559562374,2831.0906042439383,0.12522060209260982
171,25.44686711189984,3.3664984809773486,0.9946478551574836,3.665281696526199,0.07988435050084322,99663112201.6092,36650881592.44712,21776007496.18321,224.97452020807376,120.18316520657226,21776007841.340897,13997168.658062814,0.12662485901048193,0.07988435050084323,2831.135427976685,0.228730469753578
172,26.708593885900964,3.366567813978893,0.9946683399198166,4.518665095018914,0.27388781841311804,152374731290.44766,59324129186.1005,42255854834.86196,549.0019624177139,323.92658389149653,42255855707.790504,13997168.014992205,0.4161817627634113,0.27388781841311804,2831.2949382133975,0.33827259402809634
173,27.680633598801656,3.366652834375624,0.9946934595970512,5.372048493511629,0.7866468139972829,209819207860.8193,86368347984.1479,72042408909.38205,1091.3430243469406,740.9759288963868,72042410741.70099,13997166.33031047,1.0939200102214195,0.7866468139972829,2831.789122706288,0.4142395372044075
174,28.169523158262287,3.36670240192462,0.9947081045632002,5.841409362682614,1.8075344288733395,259233092351.10016,112116380816.73366,106080742635.39296,1749.6039147094705,1392.1725392498665,106080745777.16942,13997162.918205483,2.2362888890045305,1.8075344288733395,2833.037971199237,0.47114673770541277
175,28.248312990205026,3.3667118982129933,0.9947109102863918,6.214764599523174,3.408115426488119,298304358066.91125,133861765635.76659,139936086871.75677,2436.9929182688934,2229.8407051605905,139936091538.5904,13997157.205330057,3.7887701637247733,3.408115426488119,2835.5977843527176,0.5345233833560911
176,28.109505668271957,3.366697556049772,0.9947066728266195,6.5881198363637345,5.593375181006288,332367868114.29626,152627152750.00174,173591147313.26492,3192.288960013461,3241.0594477728023,173591153746.61334,13997148.591319578,5.765378166497019,5.593375181006289,2840.049927074728,0.6081640723665401
177,27.946167219632144,3.3666757065988056,0.994700217303273,6.961475073204294,8.413228747469546,364455857727.43915,169785892600.40683,208311904686.27014,4075.364051080464,4468.029524505862,208311913229.6637,13997136.329750486,8.259625514958893,8.413228747469548,2846.9973952518535,0.6817563812609122
178,27.945996901543076,3.366662261910084,0.9946962450065749,8.237283253950892,11.952779674579299,394471218510.4742,185743273350.6547,243810015940.9007,5088.050001517171,5945.021671194206,243810026973.97235,13997119.59859184,11.331381260816507,11.9527796745793,2857.1172472247094,0.7375778708252316
179,28.153961711072473,3.366661987465083,0.994696163920505,10.530751137400049,16.21364023579277,420800132008.62036,200093510939.09882,277275120654.33655,6143.607960936151,7619.827897279407,277275134417.7724,13997097.775601175,14.86743407126079,16.21364023579277,2871.143324518264,0.763522217697268
180,28.460674164459498,3.366667594548189,0.9946978205596558,12.824219020849204,20.976700005914896,441066999407.12866,211854989205.21002,304613528845.18066,7093.009475430044,9328.143384293584,304613545266.3335,13997070.799020454,18.514789458285083,20.976700005914896,2889.7094900815123,0.7610934054391458
