week,temperature,bi,bi_normalized,observed_cases,predicted_cases,L,P,M_total,I_m,E_h,I_h,R0
10,19.978999774773033,3.366666666666668,0.9946975464126838,1.3142104336787759,0.741198115541625,47173889.92220464,11027901.413831944,2008591.494397224,12.688491547237355,0.2723237596499975,0.63531267046425,0.007038253462548768
11,20.927633638471473,3.3666666666666685,0.9946975464126839,1.2608739712729813,0.4327546047818078,96547232.02462815,21443769.11263911,3837929.363207474,5.889157405306462,0.16664225812575648,0.37093251838440666,0.013375042693445903
12,21.913275758852993,3.3666666666666685,0.9946975464126839,1.207537508867187,0.259202709790329,241736330.5675016,51752132.13705102,9114348.585849805,2.7603547798207013,0.10318701647300814,0.22217375124885344,0.027186594351298454
13,22.869617336177477,3.3666666666666676,0.9946975464126837,1.1563345049576241,0.15741068513050568,705002895.1064854,150612471.55559677,26605133.752278816,1.3937240836155789,0.06397122398095803,0.1349234443975763,0.05766042029214571
14,23.7475283575764,3.3666666666666636,0.9946975464126825,1.3163438921750075,0.0985433941977513,2038065061.0601382,466375090.44003385,87234789.66420405,1.1040231735917985,0.04476308945291284,0.0844657664552154,0.12167594604957414
15,24.56456336012249,3.36666666666666,0.9946975464126815,1.476353279392391,0.0788290051586679,4767640276.086545,1254407550.4717412,268531191.2526251,2.300983077054674,0.05965024926732723,0.06756771870742964,0.23672485565043824
16,25.35445528354592,3.3666666666666596,0.9946975464126814,1.6363626666097744,0.1328060406875427,8755471203.734678,2658484167.156923,674385663.6559293,6.9890277629653825,0.16598335820659113,0.1138337491607509,0.39998788146973896
17,26.150937067576848,3.366666666666664,0.9946975464126826,1.7963720538271577,0.36393758372754165,13497352652.339901,4589919803.333598,1361265352.8101668,18.718462807655673,0.48762822619577556,0.31194650033789284,0.5850178794758492
18,26.98149788505807,3.366666666666676,0.9946975464126862,1.77503746886484,0.9436867055990256,18434406662.12251,6819467022.707087,2297435477.519928,41.049834472643376,1.1754834970696395,0.8088743190848791,0.7540858472979629
19,27.80444602255497,3.3666666666666907,0.9946975464126905,1.668364544053251,2.0234521753284813,23022587981.673244,9065927996.155499,3369625034.8931594,75.3650194230127,2.2876642494369173,1.734387578852984,0.8721101309184311
20,28.535021373381152,3.3666666666666973,0.9946975464126925,1.561691619241662,3.591970064260551,26743043688.4913,11042227819.52945,4413505873.444804,119.21162097593007,3.679993854420969,3.0788314836519013,0.9279373683594769
21,29.08781314722587,3.3666666666666876,0.9946975464126896,1.4550186944300731,5.423042245160429,29311628291.096897,12547694121.216852,5278532705.976535,166.4900138410746,5.067004832012312,4.648321924423225,0.9413665718327536
22,29.378791511015923,3.36666666666665,0.9946975464126785,1.5536911498807937,7.216087625105679,30847156021.165886,13554983447.374905,5900031918.752499,210.46907665041115,6.2439362789434325,6.185217964376298,0.9500699263689342
23,29.397648812368413,3.366666666666595,0.9946975464126623,2.033719311532944,8.833113041692465,31805468013.00616,14209397767.8614,6325427039.478136,248.3690257855284,7.266819449574727,7.571239750022113,0.9806059523292645
24,29.243382378615305,3.3666666666665543,0.9946975464126503,2.5137474731850937,10.385078873116914,32646797893.97417,14712565101.856955,6658373413.308865,282.9553927409937,8.366082641215694,8.901496176957355,1.0319482641825017
25,29.023834910414877,3.366666666666568,0.9946975464126543,2.9937756348372435,12.084229777710695,33535960029.40234,15184883164.966864,6972238819.952037,319.15005474562645,9.710561173510797,10.357911238037738,1.0923112844618874
