week,temperature,observed,predicted,R0,I_h
157,22.8470292887029,2.0,6.99999999999969,37.69074657627018,5.999999999999734
158,22.8470292887029,2.0,6.999999999999691,37.69074657627018,5.999999999999735
159,22.8470292887029,2.0,6.999999999999693,37.69074657627018,5.999999999999736
160,27.8200809716599,6.0,6.999999999999694,76.82856117191753,5.999999999999738
161,27.8200809716599,6.0,6.999999999999695,76.82856117191753,5.999999999999739
162,27.8200809716599,6.0,6.999999999999696,76.82856117191753,5.99999999999974
163,27.8200809716599,6.0,6.999999999999698,76.82856117191753,5.9999999999997415
164,27.9156666666667,7.75,6.999999999999699,76.87674892120903,5.999999999999742
165,27.9156666666667,7.75,6.999999999999702,76.87674892120903,5.999999999999744
166,27.9156666666667,7.75,6.9999999999997025,76.87674892120903,5.999999999999745
167,27.9156666666667,7.75,6.999999999999703,76.87674892120903,5.999999999999746
168,28.8931174089069,18.5,6.999999999999705,75.56192684238427,5.999999999999748
169,28.8931174089069,18.5,6.999999999999706,75.56192684238427,5.999999999999749
170,28.8931174089069,18.5,6.999999999999708,75.56192684238427,5.9999999999997495
171,28.8931174089069,18.5,6.99999999999971,75.56192684238427,5.999999999999751
172,28.2395967741935,87.25,6.9999999999997105,76.80309136519114,5.999999999999752
173,28.2395967741935,87.25,6.999999999999711,76.80309136519114,5.999999999999753
174,28.2395967741935,87.25,6.999999999999714,76.80309136519114,5.999999999999755
175,28.2395967741935,87.25,6.999999999999715,76.80309136519114,5.999999999999756
176,27.6331624825662,302.75,6.999999999999718,76.64162270845371,5.9999999999997575
177,27.6331624825662,302.75,6.999999999999718,76.64162270845371,5.999999999999758
178,27.6331624825662,302.75,6.9999999999997184,76.64162270845371,5.999999999999759
179,27.6331624825662,302.75,6.999999999999721,76.64162270845371,5.999999999999761
180,23.8795161290323,315.5,6.999999999999722,49.63470254548669,5.999999999999762
181,23.8795161290323,315.5,6.999999999999723,49.63470254548669,5.999999999999763
182,23.8795161290323,315.5,6.999999999999725,49.63470254548669,5.999999999999765
183,23.8795161290323,315.5,6.999999999999726,49.63470254548669,5.9999999999997655
184,21.4488129601186,78.75,6.999999999999727,22.601533700609703,5.999999999999766
185,21.4488129601186,78.75,6.99999999999973,22.601533700609703,5.999999999999768
186,21.4488129601186,78.75,6.99999999999973,22.601533700609703,5.999999999999769
187,21.4488129601186,78.75,6.999999999999733,22.601533700609703,5.999999999999771
188,17.2776488833747,8.5,6.9999999999997335,0.36353794379161747,5.999999999999772
189,17.2776488833747,8.5,6.999999999999734,0.36353794379161747,5.999999999999773
190,17.2776488833747,8.5,6.999999999999736,0.36353794379161747,5.999999999999774
191,17.2776488833747,8.5,6.999999999999737,0.36353794379161747,5.999999999999775
192,16.3933302860128,8.5,6.999999999999739,0.0,5.999999999999776
193,16.3933302860128,8.5,6.999999999999741,0.0,5.999999999999778
194,16.3933302860128,8.5,6.999999999999742,0.0,5.999999999999779
195,16.3933302860128,8.5,6.999999999999742,0.0,5.99999999999978
196,18.6429464285714,3.25,6.999999999999745,3.792861011077833,5.9999999999997815
197,18.6429464285714,3.25,6.999999999999746,3.792861011077833,5.999999999999782
198,18.6429464285714,3.25,6.999999999999748,3.792861011077833,5.999999999999784
199,18.6429464285714,3.25,6.999999999999749,3.792861011077833,5.999999999999785
200,19.6688383178791,4.75,6.9999999999997495,8.65008177784869,5.999999999999786
201,19.6688383178791,4.75,6.999999999999752,8.65008177784869,5.999999999999788
202,19.6688383178791,4.75,6.999999999999753,8.65008177784869,5.999999999999789
203,19.6688383178791,4.75,6.999999999999755,8.65008177784869,5.9999999999997895
204,23.6990258019526,9.75,6.999999999999756,47.57011074449417,5.999999999999791
205,23.6990258019526,9.75,6.9999999999997575,47.57011074449417,5.999999999999792
206,23.6990258019526,9.75,6.999999999999758,47.57011074449417,5.999999999999793
207,23.6990258019526,9.75,6.99999999999976,47.57011074449417,5.999999999999795
208,24.935564516129,22.25,6.999999999999761,60.90560131541042,5.999999999999796
209,24.935564516129,22.25,6.999999999999764,60.90560131541042,5.9999999999997975
210,24.935564516129,22.25,6.999999999999765,60.90560131541042,5.999999999999798
211,24.935564516129,22.25,6.9999999999997655,60.90560131541042,5.999999999999799
212,28.3145390516039,66.25,6.999999999999767,76.73431579670101,5.999999999999801
213,28.3145390516039,66.25,6.999999999999768,76.73431579670101,5.999999999999802
214,28.3145390516039,66.25,6.99999999999977,76.73431579670101,5.999999999999803
215,28.3145390516039,66.25,6.999999999999772,76.73431579670101,5.999999999999805
216,29.0627419354839,107.0,6.999999999999773,75.00738298991172,5.9999999999998055
217,29.0627419354839,107.0,6.9999999999997735,75.00738298991172,5.999999999999806
218,29.0627419354839,107.0,6.999999999999776,75.00738298991172,5.999999999999808
219,29.0627419354839,107.0,6.999999999999777,75.00738298991172,5.999999999999809
220,28.9638866396761,336.75,6.99999999999978,75.34197481125094,5.999999999999811
221,28.9638866396761,336.75,6.99999999999978,75.34197481125094,5.999999999999812
222,28.9638866396761,336.75,6.999999999999781,75.34197481125094,5.999999999999813
223,28.9638866396761,336.75,6.999999999999783,75.34197481125094,5.999999999999814
224,28.0769166666667,379.25,6.999999999999784,76.88566161375765,5.999999999999815
225,28.0769166666667,379.25,6.999999999999785,76.88566161375765,5.999999999999816
226,28.0769166666667,379.25,6.999999999999787,76.88566161375765,5.999999999999818
227,28.0769166666667,379.25,6.999999999999789,76.88566161375765,5.999999999999819
228,25.3271370967742,446.5,6.9999999999997895,64.54252620601586,5.99999999999982
229,25.3271370967742,446.5,6.999999999999792,64.54252620601586,5.9999999999998215
230,25.3271370967742,446.5,6.999999999999792,64.54252620601586,5.999999999999822
231,25.3271370967742,446.5,6.999999999999795,64.54252620601586,5.999999999999824
232,21.3425573570432,118.25,6.999999999999796,21.577855985567904,5.999999999999825
233,21.3425573570432,118.25,6.999999999999797,21.577855985567904,5.999999999999826
234,21.3425573570432,118.25,6.999999999999798,21.577855985567904,5.999999999999828
235,21.3425573570432,118.25,6.999999999999799,21.577855985567904,5.999999999999829
236,17.5380487804878,8.0,6.999999999999801,0.7948765910295533,5.9999999999998295
237,17.5380487804878,8.0,6.999999999999803,0.7948765910295533,5.999999999999831
238,17.5380487804878,8.0,6.999999999999805,0.7948765910295533,5.999999999999832
239,17.5380487804878,8.0,6.999999999999805,0.7948765910295533,5.999999999999833
