date,year,month,cases,temperature,humidity,precipitation,population
2010-04-01,2010,4,2,20.234358974359,80.6769230769231,2.40587997885805,10233.6666666667
2010-05-01,2010,5,1,25.4895161290323,79.008064516129,3.59201981432075,10259.5833333333
2010-06-01,2010,6,0,26.5479595202399,82.4855322338831,4.54759538096639,10285.5
2010-07-01,2010,7,4,29.1612981904012,76.9236559139785,3.2559474584605,10311.4166666667
2010-08-01,2010,8,11,29.1090322580645,74.4048387096774,5.50818908831217,10337.3333333333
2010-09-01,2010,9,44,27.7813333333333,79.7266666666667,6.63369295703026,10363.25
2010-10-01,2010,10,66,24.135,65.0548387096774,2.43490198885772,10389.1666666667
2010-11-01,2010,11,9,20.3427906976744,65.5131782945736,0.170324074074074,10415.0833333333
2010-12-01,2010,12,1,16.3030508474576,61.5432203389831,0.324136781961807,10441.0
2011-01-01,2011,1,0,11.1756481481482,59.6185185185185,0.192285738226915,10467.25
2011-02-01,2011,2,0,15.025,73.3089285714286,0.367587187800109,10493.5
2011-03-01,2011,3,0,16.4446807943489,66.565493802479,0.363214826034887,10519.75
2011-04-01,2011,4,0,22.3551666666667,70.025,2.31415087913099,10546.0
2011-05-01,2011,5,1,25.0896774193548,78.4177419354839,3.22802814674257,10572.25
2011-06-01,2011,6,2,28.2248333333333,81.105,5.44610504201681,10598.5
2011-07-01,2011,7,2,28.5588348462268,81.2548435171386,4.19219711232185,10624.75
2011-08-01,2011,8,3,29.4323723072754,74.5503861265411,3.04374719813036,10651.0
2011-09-01,2011,9,7,27.5328333333333,74.805,5.1415,10677.25
2011-10-01,2011,10,26,23.9415801206399,74.0899029635458,1.49580812485982,10703.5
2011-11-01,2011,11,8,22.0936666666667,74.705,1.37724413509551,10729.75
2011-12-01,2011,12,0,15.3473170731707,58.7512195121951,0.405994814305525,10756.0
2012-01-01,2012,1,0,12.9437078501932,80.3450219912035,0.953856014663279,10779.75
2012-02-01,2012,2,1,14.533055682685,80.5226086956522,1.00987509357591,10803.5
